user_genome,domain,phylum,class,order,family,genus,species
concoct_Bi_FG_1_bin_1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Arsenophonus,Arsenophonus apicola
concoct_Bi_FG_1_bin_16_sub,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Fructobacillus,Fructobacillus fructosus
concoct_Bi_KP1_2_bin_28_sub,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium
concoct_Bi_KP2_1_bin_9,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium bohemicum
concoct_Bi_KP3_1_bin_20,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium bohemicum
concoct_Bi_KP3_1_bin_44_sub,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus
concoct_Bi_KP3_2_bin_15_sub,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus
concoct_Bi_KP3_2_bin_22_sub,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Bombilactobacillus,Bombilactobacillus bombi
concoct_Bi_MB_2_bin_4_sub,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium
concoct_Bi_MB_2_bin_57,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Arsenophonus,Arsenophonus apicola
concoct_Bi_ML_1_bin_39_sub,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium
concoct_Bi_ML_1_bin_41,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Arsenophonus,Arsenophonus apicola
concoct_Bi_ML_2_bin_18_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Arsenophonus,Arsenophonus apicola
concoct_Bi_PI_1_bin_38,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Schmidhempelia,Schmidhempelia bombi
concoct_Br_CM_1_bin_49,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium
concoct_Br_ML_2_bin_77,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Gilliamella,Gilliamella apicola_M
concoct_Bv_BP_2_bin_99,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Fructobacillus,Fructobacillus sp001038455
concoct_Bv_ML_1_bin_29,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Fructobacillus,Fructobacillus tropaeoli
concoct_Bv_ML_2_bin_24,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Gilliamella,Gilliamella bombi
maxbin2_Bi_BB1_2_bin.004_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Schmidhempelia,Schmidhempelia bombi
maxbin2_Bi_BB1_2_bin.005_sub,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus
maxbin2_Bi_BB1_2_bin.006,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Bombilactobacillus,Bombilactobacillus bombi
maxbin2_Bi_BB2_1_bin.005_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Schmidhempelia,Schmidhempelia bombi
maxbin2_Bi_BB2_2_bin.008,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus kimbladii_A
maxbin2_Bi_BB3_1_bin.002,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus panisapium
maxbin2_Bi_BB3_1_bin.003,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium sp024104275
maxbin2_Bi_BB3_1_bin.004_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Schmidhempelia,Schmidhempelia bombi
maxbin2_Bi_BB3_1_bin.005_sub,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium
maxbin2_Bi_BB3_1_bin.006_sub,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus
maxbin2_Bi_BB3_2_bin.003,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Schmidhempelia,Schmidhempelia bombi
maxbin2_Bi_BB3_2_bin.005,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Bombilactobacillus,Bombilactobacillus
maxbin2_Bi_BP_1_bin.004,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Snodgrassella,Snodgrassella communis
maxbin2_Bi_BP_1_bin.007,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium
maxbin2_Bi_BP_1_bin.009,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium
maxbin2_Bi_BP_1_bin.011_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Schmidhempelia,Schmidhempelia bombi
maxbin2_Bi_BP_1_bin.015,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Fructobacillus,Fructobacillus fructosus
maxbin2_Bi_BP_2_bin.007,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Apibacter,Apibacter mensalis
maxbin2_Bi_BP_2_bin.010_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Snodgrassella,Snodgrassella sp024103515
maxbin2_Bi_BP_2_bin.015_sub,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Fructobacillus,Fructobacillus fructosus
maxbin2_Bi_BP_2_bin.017_sub,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium
maxbin2_Bi_CM_1_bin.001_sub,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium bohemicum
maxbin2_Bi_CM_1_bin.010_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Snodgrassella,Snodgrassella sp024103515
maxbin2_Bi_CM_1_bin.013_sub,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium
maxbin2_Bi_CM_1_bin.015_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Schmidhempelia,Schmidhempelia bombi
maxbin2_Bi_CM_1_bin.016_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Snodgrassella,Snodgrassella communis
maxbin2_Bi_CM_1_bin.017,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus bombicola
maxbin2_Bi_CM_1_bin.018_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Arsenophonus,Arsenophonus apicola
maxbin2_Bi_CM_2_bin.001,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Apibacter,Apibacter mensalis
maxbin2_Bi_CM_2_bin.005_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Arsenophonus,Arsenophonus apicola
maxbin2_Bi_FG_1_bin.006_sub,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium
maxbin2_Bi_FG_1_bin.007,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium
maxbin2_Bi_FG_2_bin.002,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Snodgrassella,Snodgrassella communis
maxbin2_Bi_FG_2_bin.012_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Schmidhempelia,Schmidhempelia bombi
maxbin2_Bi_KP1_1_bin.005,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Snodgrassella,Snodgrassella communis
maxbin2_Bi_KP1_1_bin.011_sub,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium sp024104275
maxbin2_Bi_KP1_2_bin.004,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium
maxbin2_Bi_KP1_2_bin.006,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium
maxbin2_Bi_KP2_1_bin.008,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Schmidhempelia,Schmidhempelia bombi
maxbin2_Bi_KP2_1_bin.009,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus
maxbin2_Bi_KP2_1_bin.010_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Snodgrassella,Snodgrassella communis
maxbin2_Bi_KP2_2_bin.002,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Snodgrassella,Snodgrassella communis
maxbin2_Bi_KP2_2_bin.006,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Schmidhempelia,Schmidhempelia bombi
maxbin2_Bi_KP2_2_bin.011_sub,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus bombicola
maxbin2_Bi_KP2_2_bin.013_sub,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Bombilactobacillus,Bombilactobacillus
maxbin2_Bi_KP3_1_bin.005,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Schmidhempelia,Schmidhempelia bombi
maxbin2_Bi_KP3_2_bin.003,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Snodgrassella,Snodgrassella communis
maxbin2_Bi_KP3_2_bin.008,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium
maxbin2_Bi_KP3_2_bin.009,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Schmidhempelia,Schmidhempelia bombi
maxbin2_Bi_KP3_2_bin.010,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium bohemicum
maxbin2_Bi_MB_1_bin.012_sub,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium
maxbin2_Bi_MB_2_bin.006_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Gilliamella,Gilliamella apicola_M
maxbin2_Bi_ML_1_bin.014_sub,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Apibacter,Apibacter mensalis
maxbin2_Bi_ML_2_bin.006,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Snodgrassella,Snodgrassella communis
maxbin2_Bi_ML_2_bin.007,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium
maxbin2_Br_CM_1_bin.004,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Snodgrassella,Snodgrassella communis
maxbin2_Br_CM_1_bin.008,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Gilliamella,Gilliamella bombi
maxbin2_Br_CM_1_bin.015,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Apibacter,Apibacter
maxbin2_Br_CM_1_bin.017_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Snodgrassella,Snodgrassella sp024103515
maxbin2_Br_FG_1_bin.002_sub,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Apibacter,Apibacter
maxbin2_Br_FG_1_bin.006_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Arsenophonus,Arsenophonus apicola
maxbin2_Br_FG_2_bin.003,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Gilliamella,Gilliamella apicola_A
maxbin2_Br_FG_2_bin.004,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Apibacter,Apibacter mensalis
maxbin2_Br_ML_1_bin.004,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium
maxbin2_Br_ML_1_bin.005,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Snodgrassella,Snodgrassella communis
maxbin2_Bt_MB_2_bin.001,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium
maxbin2_Bt_MB_2_bin.002,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Gilliamella,Gilliamella bombi
maxbin2_Bt_MB_2_bin.003,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Snodgrassella,Snodgrassella communis
maxbin2_Bt_MB_2_bin.004,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium
maxbin2_Bv_ML_2_bin.003,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Schmidhempelia,Schmidhempelia bombi
maxbin2_Bv_PI_1_84_bin.001,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Rosenbergiella,Rosenbergiella
metabat2_Bi_BB1_1_bin_.6_sub,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Bombilactobacillus,Bombilactobacillus bombi
metabat2_Bi_BB2_1_bin_.15,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus kimbladii_A
metabat2_Bi_BB2_1_bin_.2,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Bombilactobacillus,Bombilactobacillus mellis
metabat2_Bi_BB2_2_bin_.7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Schmidhempelia,Schmidhempelia bombi
metabat2_Bi_BB3_1_bin_.7_sub,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Bombilactobacillus,Bombilactobacillus bombi
metabat2_Bi_BB3_2_bin_.3,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium sp024104275
metabat2_Bi_BB3_2_bin_.5_sub,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus
metabat2_Bi_BP_1_bin_.18,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Gilliamella,Gilliamella bombi
metabat2_Bi_BP_1_bin_.6,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus bombicola
metabat2_Bi_BP_2_bin_.2,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillaceae CALYQJ01,Lactobacillaceae CALYQJ01
metabat2_Bi_BP_2_bin_.27,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus
metabat2_Bi_BP_2_bin_.7,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus bombicola
metabat2_Bi_CM_1_bin_.26,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Apibacter,Apibacter mensalis
metabat2_Bi_CM_1_bin_.3,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillaceae CALYQJ01,Lactobacillaceae CALYQJ01
metabat2_Bi_CM_2_bin_.4,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Schmidhempelia,Schmidhempelia bombi
metabat2_Bi_CM_2_bin_.6,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Snodgrassella,Snodgrassella communis
metabat2_Bi_FG_1_bin_.11,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillaceae CALYQJ01,Lactobacillaceae CALYQJ01
metabat2_Bi_FG_1_bin_.8,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Snodgrassella,Snodgrassella communis
metabat2_Bi_FG_2_bin_.11,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus bombicola
metabat2_Bi_FG_2_bin_.14,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium
metabat2_Bi_FG_2_bin_.9,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Gilliamella,Gilliamella bombi
metabat2_Bi_KP1_1_bin_.13,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium
metabat2_Bi_KP1_1_bin_.2,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Schmidhempelia,Schmidhempelia bombi
metabat2_Bi_KP1_1_bin_.5,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus bombicola
metabat2_Bi_KP1_2_bin_.3,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Snodgrassella,Snodgrassella communis
metabat2_Bi_KP1_2_bin_.4,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium sp024104275
metabat2_Bi_KP1_2_bin_.6,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Schmidhempelia,Schmidhempelia bombi
metabat2_Bi_KP1_2_bin_.7,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus bombicola
metabat2_Bi_KP2_2_bin_.11,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium bohemicum
metabat2_Bi_KP2_2_bin_.15,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium
metabat2_Bi_KP2_2_bin_.6,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium sp024104275
metabat2_Bi_KP2_2_bin_.7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Gilliamella,Gilliamella bombi
metabat2_Bi_KP2_2_bin_.8_sub,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus
metabat2_Bi_KP3_1_bin_.10,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus bombicola
metabat2_Bi_KP3_1_bin_.6,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus
metabat2_Bi_KP3_2_bin_.19,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium
metabat2_Bi_KP3_2_bin_.2_sub,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Bombilactobacillus,Bombilactobacillus bombi
metabat2_Bi_MB_1_bin_.2,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Apibacter,Apibacter mensalis
metabat2_Bi_MB_1_bin_.3,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Arsenophonus,Arsenophonus apicola
metabat2_Bi_MB_1_bin_.4,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Snodgrassella,Snodgrassella sp024103515
metabat2_Bi_MB_1_bin_.5,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Gilliamella,Gilliamella apicola_M
metabat2_Bi_MB_2_bin_.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Snodgrassella,Snodgrassella sp024103515
metabat2_Bi_MB_2_bin_.11,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Apibacter,Apibacter mensalis
metabat2_Bi_MB_2_bin_.2,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Schmidhempelia,Schmidhempelia bombi
metabat2_Bi_MB_2_bin_.3,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus bombicola
metabat2_Bi_MB_2_bin_.4,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium
metabat2_Bi_ML_1_bin_.10,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Gilliamella,Gilliamella apicola_A
metabat2_Bi_ML_1_bin_.13,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium
metabat2_Bi_ML_1_bin_.16,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Snodgrassella,Snodgrassella communis
metabat2_Bi_ML_1_bin_.3,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus bombicola
metabat2_Bi_ML_1_bin_.8,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Schmidhempelia,Schmidhempelia bombi
metabat2_Bi_ML_2_bin_.10,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Schmidhempelia,Schmidhempelia bombi
metabat2_Bi_ML_2_bin_.12_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Gilliamella,Gilliamella apicola_A
metabat2_Bi_ML_2_bin_.3,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Apibacter,Apibacter mensalis
metabat2_Bi_ML_2_bin_.4,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium
metabat2_Bi_ML_2_bin_.9,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus bombicola
metabat2_Bi_PI_2_bin_.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Schmidhempelia,Schmidhempelia bombi
metabat2_Br_CM_1_bin_.1,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium
metabat2_Br_CM_1_bin_.4,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus bombicola
metabat2_Br_FG_1_bin_.6,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Gilliamella,Gilliamella apicola_A
metabat2_Bt_CM_1_bin_.3,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Schmidhempelia,Schmidhempelia bombi
