MAG,MAG_genus,MAG_species,Completeness,Contamination,Completeness_Model_Used,Translation_Table_Used,Coding_Density,Contig_N50,Average_Gene_Length,Genome_Size,GC_Content,Total_Coding_Sequences,Additional_Notes,bee_id,host,host_type,site
metabat2_Bi_BP_1_bin_.6,Lactobacillus,Lactobacillus bombicola,84.48,0.11,Neural Network (Specific Model),11,0.876,233793,304.3368263,1389575,0.35,1336,None,Bi_BP_1,wild_imp,wild,Bruce Pit
metabat2_Bi_BP_2_bin_.2,Lactobacillaceae CALYQJ01,Lactobacillaceae CALYQJ01,82.94,0.03,Neural Network (Specific Model),11,0.879,156984,298.5847872,1455606,0.34,1433,None,Bi_BP_2,wild_imp,wild,Bruce Pit
metabat2_Bi_BP_2_bin_.7,Lactobacillus,Lactobacillus bombicola,86.53,3.32,Neural Network (Specific Model),11,0.882,16954,286.2492877,1365209,0.35,1404,None,Bi_BP_2,wild_imp,wild,Bruce Pit
metabat2_Bi_CM_2_bin_.4,Schmidhempelia,Schmidhempelia bombi,84.15,0.02,Neural Network (Specific Model),11,0.824,71343,327.1566646,1884848,0.36,1583,None,Bi_CM_2,wild_imp,wild,Chapman Mills
metabat2_Bi_CM_2_bin_.6,Snodgrassella,Snodgrassella communis,80.65,0.05,Neural Network (Specific Model),11,0.813,120996,298.3585468,1846370,0.43,1679,None,Bi_CM_2,wild_imp,wild,Chapman Mills
metabat2_Bi_FG_1_bin_.11,Lactobacillaceae CALYQJ01,Lactobacillaceae CALYQJ01,83.13,0.02,Neural Network (Specific Model),11,0.875,135688,301.3264075,1538039,0.35,1492,None,Bi_FG_1,wild_imp,wild,Fletcher's Wildlife Garden
metabat2_Bi_FG_1_bin_.8,Snodgrassella,Snodgrassella communis,88.26,0.18,Neural Network (Specific Model),11,0.813,122196,296.9681698,2061510,0.42,1885,None,Bi_FG_1,wild_imp,wild,Fletcher's Wildlife Garden
metabat2_Bi_FG_2_bin_.11,Lactobacillus,Lactobacillus bombicola,84.02,0.05,Neural Network (Specific Model),11,0.894,53793,318.526971,1285767,0.35,1205,None,Bi_FG_2,wild_imp,wild,Fletcher's Wildlife Garden
metabat2_Bi_FG_2_bin_.14,Bifidobacterium,Bifidobacterium,95.62,0.02,Neural Network (Specific Model),11,0.89,376557,361.4205607,1302110,0.45,1070,None,Bi_FG_2,wild_imp,wild,Fletcher's Wildlife Garden
metabat2_Bi_FG_2_bin_.9,Gilliamella,Gilliamella bombi,98.48,1.89,Neural Network (Specific Model),11,0.856,18802,278.8852584,2567496,0.34,2632,None,Bi_FG_2,wild_imp,wild,Fletcher's Wildlife Garden
metabat2_Bi_KP1_1_bin_.5,Lactobacillus,Lactobacillus bombicola,93.4,0.02,Neural Network (Specific Model),11,0.875,50790,300.0512091,1443865,0.34,1406,None,Bi_KP1_1,kopper_imp,commercial,Koppert 1
metabat2_Bi_KP1_2_bin_.3,Snodgrassella,Snodgrassella communis,85.52,1.43,Neural Network (Specific Model),11,0.832,15876,290.3689376,1810849,0.43,1732,None,Bi_KP1_2,kopper_imp,commercial,Koppert 1
metabat2_Bi_KP1_2_bin_.4,Bifidobacterium,Bifidobacterium sp024104275,88.03,0.08,Neural Network (Specific Model),11,0.851,55442,360.0919336,2138339,0.56,1686,None,Bi_KP1_2,kopper_imp,commercial,Koppert 1
metabat2_Bi_KP1_2_bin_.6,Schmidhempelia,Schmidhempelia bombi,86.86,0.01,Neural Network (Specific Model),11,0.824,65393,316.1951081,2021326,0.36,1758,None,Bi_KP1_2,kopper_imp,commercial,Koppert 1
metabat2_Bi_KP1_2_bin_.7,Lactobacillus,Lactobacillus bombicola,92.26,0.09,Neural Network (Specific Model),11,0.875,60706,304.3098095,1475426,0.34,1417,None,Bi_KP1_2,kopper_imp,commercial,Koppert 1
metabat2_Bi_KP2_2_bin_.15,Bifidobacterium,Bifidobacterium,93.02,0.19,Neural Network (Specific Model),11,0.893,940757,360.447789,1285085,0.45,1063,None,Bi_KP2_2,kopper_imp,commercial,Koppert 2
metabat2_Bi_KP3_2_bin_.19,Bifidobacterium,Bifidobacterium,92.93,0.19,Neural Network (Specific Model),11,0.892,264231,360.7867299,1278799,0.45,1055,None,Bi_KP3_2,kopper_imp,commercial,Koppert 3
metabat2_Bi_MB_1_bin_.2,Apibacter,Apibacter mensalis,95.35,2.14,Gradient Boost (General Model),11,0.863,13050,293.9645725,2161334,0.3,2117,None,Bi_MB_1,wild_imp,wild,Mer Bleue
metabat2_Bi_MB_1_bin_.4,Snodgrassella,Snodgrassella sp024103515,84.57,4.12,Neural Network (Specific Model),11,0.728,6845,241.969697,2232375,0.39,2244,None,Bi_MB_1,wild_imp,wild,Mer Bleue
metabat2_Bi_MB_1_bin_.5,Gilliamella,Gilliamella apicola_M,99.91,0.22,Neural Network (Specific Model),11,0.869,29595,295.9429038,2502374,0.35,2452,None,Bi_MB_1,wild_imp,wild,Mer Bleue
metabat2_Bi_MB_2_bin_.1,Snodgrassella,Snodgrassella sp024103515,88.67,0.04,Neural Network (Specific Model),11,0.726,44834,276.6999498,2275372,0.4,1993,None,Bi_MB_2,wild_imp,wild,Mer Bleue
metabat2_Bi_MB_2_bin_.11,Apibacter,Apibacter mensalis,99.99,0.04,Neural Network (Specific Model),11,0.87,166001,319.271826,2330553,0.3,2119,None,Bi_MB_2,wild_imp,wild,Mer Bleue
metabat2_Bi_MB_2_bin_.2,Schmidhempelia,Schmidhempelia bombi,99.66,0.12,Neural Network (Specific Model),11,0.826,61328,318.7517501,2148061,0.36,1857,None,Bi_MB_2,wild_imp,wild,Mer Bleue
metabat2_Bi_MB_2_bin_.3,Lactobacillus,Lactobacillus bombicola,96.09,0.97,Neural Network (Specific Model),11,0.872,104731,301.1332034,1591478,0.34,1539,None,Bi_MB_2,wild_imp,wild,Mer Bleue
metabat2_Bi_MB_2_bin_.4,Bifidobacterium,Bifidobacterium,81.59,0.06,Neural Network (Specific Model),11,0.895,12167,334.6267748,1104501,0.45,986,None,Bi_MB_2,wild_imp,wild,Mer Bleue
metabat2_Bi_ML_1_bin_.10,Gilliamella,Gilliamella apicola_A,99.96,1.61,Neural Network (Specific Model),11,0.859,35617,307.3609183,2008495,0.34,1873,None,Bi_ML_1,wild_imp,wild,Mud Lake
metabat2_Bi_ML_1_bin_.13,Bifidobacterium,Bifidobacterium,96.36,0.14,Neural Network (Specific Model),11,0.892,724967,361.6554702,1265273,0.45,1042,None,Bi_ML_1,wild_imp,wild,Mud Lake
metabat2_Bi_ML_1_bin_.3,Lactobacillus,Lactobacillus bombicola,96.4,0.03,Neural Network (Specific Model),11,0.873,202754,305.2493036,1504699,0.35,1436,None,Bi_ML_1,wild_imp,wild,Mud Lake
metabat2_Bi_ML_2_bin_.12_sub,Gilliamella,Gilliamella apicola_A,80.29,0.91,Neural Network (Specific Model),11,0.849,25069,297.32799,1701330,0.34,1622,None,Bi_ML_2,wild_imp,wild,Mud Lake
metabat2_Bi_ML_2_bin_.3,Apibacter,Apibacter mensalis,99.99,0.04,Neural Network (Specific Model),11,0.869,210553,325.6523904,2254299,0.3,2008,None,Bi_ML_2,wild_imp,wild,Mud Lake
metabat2_Bi_ML_2_bin_.9,Lactobacillus,Lactobacillus bombicola,99.37,0.18,Neural Network (Specific Model),11,0.878,217996,307.3331152,1601729,0.35,1528,None,Bi_ML_2,wild_imp,wild,Mud Lake
metabat2_Bi_PI_2_bin_.1,Schmidhempelia,Schmidhempelia bombi,81.41,0.02,Neural Network (Specific Model),11,0.825,72053,323.9383202,1793952,0.36,1524,None,Bi_PI_2,wild_imp,wild,Petrie Island
metabat2_Br_CM_1_bin_.1,Bifidobacterium,Bifidobacterium,95.37,0.13,Neural Network (Specific Model),11,0.891,894561,367.0526316,1243632,0.45,1007,None,Br_CM_1,rufocinctus,wild,Chapman Mills
metabat2_Br_FG_1_bin_.6,Gilliamella,Gilliamella apicola_A,100,0.01,Neural Network (Specific Model),11,0.857,95755,315.8280992,2005260,0.34,1815,None,Br_FG_1,rufocinctus,wild,Fletcher's Wildlife Garden
metabat2_Bt_CM_1_bin_.3,Schmidhempelia,Schmidhempelia bombi,99.22,0.61,Neural Network (Specific Model),11,0.827,19515,308.1646739,2054253,0.36,1840,None,Bt_CM_1,ternarius,wild,Chapman Mills
